column_default;column_name;data_type;is_nullable;table_name
;commission_role;text;YES;commission_accrual_ledger
;rent_request_id;uuid;YES;commission_accrual_ledger
;repayment_amount;numeric;YES;commission_accrual_ledger
gen_random_uuid();id;uuid;NO;conversation_participants
;conversation_id;uuid;NO;conversation_participants
;user_id;uuid;NO;conversation_participants
now();joined_at;timestamp with time zone;NO;conversation_participants
;last_read_at;timestamp with time zone;YES;conversation_participants
gen_random_uuid();id;uuid;NO;conversations
now();created_at;timestamp with time zone;NO;conversations
now();updated_at;timestamp with time zone;NO;conversations
gen_random_uuid();id;uuid;NO;credit_access_draws
;user_id;uuid;NO;credit_access_draws
;agent_id;uuid;YES;credit_access_draws
;amount;numeric;NO;credit_access_draws
1;duration_months;integer;NO;credit_access_draws
;duration_days;integer;YES;credit_access_draws
0.33;monthly_rate;numeric;NO;credit_access_draws
0;access_fee;numeric;NO;credit_access_draws
0;total_payable;numeric;NO;credit_access_draws
0;daily_charge;numeric;NO;credit_access_draws
0;outstanding_balance;numeric;NO;credit_access_draws
0;amount_repaid;numeric;NO;credit_access_draws
'active'::text;status;text;NO;credit_access_draws
now();started_at;timestamp with time zone;NO;credit_access_draws
;expires_at;timestamp with time zone;NO;credit_access_draws
;completed_at;timestamp with time zone;YES;credit_access_draws
now();created_at;timestamp with time zone;NO;credit_access_draws
now();updated_at;timestamp with time zone;NO;credit_access_draws
gen_random_uuid();id;uuid;NO;credit_access_limits
;user_id;uuid;NO;credit_access_limits
30000;base_limit;numeric;NO;credit_access_limits
0;bonus_from_ratings;numeric;NO;credit_access_limits
0;bonus_from_receipts;numeric;NO;credit_access_limits
0;bonus_from_rent_history;numeric;NO;credit_access_limits
0;bonus_from_landlord_rent;numeric;NO;credit_access_limits
now();created_at;timestamp with time zone;NO;credit_access_limits
now();updated_at;timestamp with time zone;NO;credit_access_limits
0;bonus_from_houses_listed;numeric;NO;credit_access_limits
0;bonus_from_partners_onboarded;numeric;NO;credit_access_limits
;total_limit;numeric;YES;credit_access_limits
gen_random_uuid();id;uuid;NO;credit_draw_ledger
;draw_id;uuid;NO;credit_draw_ledger
;date;date;NO;credit_draw_ledger
0;opening_balance;numeric;NO;credit_draw_ledger
0;daily_charge;numeric;NO;credit_draw_ledger
0;amount_deducted;numeric;NO;credit_draw_ledger
0;agent_deducted;numeric;NO;credit_draw_ledger
0;closing_balance;numeric;NO;credit_draw_ledger
'none'::text;deduction_status;text;NO;credit_draw_ledger
now();created_at;timestamp with time zone;NO;credit_draw_ledger
gen_random_uuid();id;uuid;NO;credit_request_details
;loan_id;uuid;YES;credit_request_details
;borrower_id;uuid;NO;credit_request_details
;borrower_phone;text;NO;credit_request_details
;borrower_mm_name;text;NO;credit_request_details
;landlord_name;text;NO;credit_request_details
;landlord_phone;text;NO;credit_request_details
false;landlord_on_platform;boolean;YES;credit_request_details
;landlord_id;uuid;YES;credit_request_details
;electricity_meter_number;text;YES;credit_request_details
;water_meter_number;text;YES;credit_request_details
;location_latitude;double precision;YES;credit_request_details
;location_longitude;double precision;YES;credit_request_details
;location_address;text;YES;credit_request_details
'daily'::text;repayment_frequency;text;NO;credit_request_details
30;duration_days;integer;NO;credit_request_details
5;platform_fee_rate;numeric;NO;credit_request_details
0;funder_interest_rate;numeric;NO;credit_request_details
0;platform_fee_amount;numeric;NO;credit_request_details
0;total_with_fees;numeric;NO;credit_request_details
;agent_id;uuid;YES;credit_request_details
false;agent_verified;boolean;YES;credit_request_details
;agent_verified_at;timestamp with time zone;YES;credit_request_details
now();created_at;timestamp with time zone;NO;credit_request_details
now();updated_at;timestamp with time zone;NO;credit_request_details
gen_random_uuid();id;uuid;NO;daily_platform_stats
CURRENT_DATE;stat_date;date;NO;daily_platform_stats
0;total_users;integer;NO;daily_platform_stats
0;active_users_30d;integer;NO;daily_platform_stats
0;new_users_today;integer;NO;daily_platform_stats
0;retention_pct;numeric;NO;daily_platform_stats
0;referral_pct;numeric;NO;daily_platform_stats
0;daily_transaction_volume;numeric;NO;daily_platform_stats
'{}'::jsonb;users_by_role;jsonb;YES;daily_platform_stats
